'annuary_id','module'
1177,'S|S|20|8|GT|__|_'
1177,'BT|23|_|GT|23|_'
1177,'D|S|24|7|GT|20|_'
1177,'BW|25|_|GT|35|3'
1178,'D|P|12|6|GT|15|_'
1179,'D|S|12|6|GT|15|_'
1185,'BN|70|_|CO|36|_'
1185,'BC|80|1|CO|08|_'
1185,'BI|96|_|CO|03|_'
1185,'BC|96|5|CO|01|5'
1185,'BE|03|_|DF|20|1'
1185,'BK|10|_|DU|84|2'
1185,'L|C|11|_|_|0059'
1185,'BK|11|A|CO|14|4'
1185,'I|_|12|4|CO|12|4'
1185,'D|P|12|6|CO|02|_'
1185,'BT|12|A|DF|50|4'
1185,'L|R|13|2|_|0059'
1185,'BK|13|2|DF|19|C'
1185,'M|_|14|8|GO|14|B'
1185,'BT|15|3|__|__|8'
1185,'BK|16|_|__|80|8'
1185,'BM|23|A|DF|01|1'
1186,'D|S|12|6|PU|04|_'
1186,'D|S|17|3|PU|04|_'
1186,'D|S|28|7|TL|03|_'
1186,'D|S|29|3|TL|03|_'
1558,'D|S|13|A|GR|07|_'
1570,'D|S|13|A|JA|06|_'
1573,'=|L|__|_|__|__|_'
1573,'S|P|98|7|VE|__|_'
1573,'S|P|02|7|VE|__|_'
1573,'S|P|06|7|VE|__|_'
1573,'S|P|10|6|VE|__|_'
1573,'D|P|13|A|VE|09|0'
1913,'BN|84|_|CO|03|_'
1913,'L|T|84|_|_|7081'
1913,'L|F|85|_|_|1159'
1913,'BF|85|_|CO|__|B'
1913,'BC|92|1|CO|03|5'
1913,'BW|00|_|CO|30|_'
1913,'BQ|11|_|CH|26|4'
1913,'Q|M|12|_|CH|04|2'
1913,'BL|12|4|CH|06|4'
1913,'L|L|13|3|_|9391'
1913,'BL|13|6|LA|06|C'
1913,'BQ|13|7|CO|04|C'
1913,'L|L|13|A|_|9748'
1913,'W|P|13|A|CH|07|C'
1913,'X|_|14|A|_|0000'
1913,'BT|15|1|DF|19|9'
1913,'BT|15|3|__|__|9'
1913,'BR|15|5|__|__|1'
1916,'BV|12|5|CH|28|1'
1916,'BT|12|5|CH|07|4'
1916,'L|M|13|3|_|6489'
1916,'X|_|14|A|_|0000'
1916,'BT|14|A|__|14|B'
1916,'L|X|15|1|_|0000'
1923,'BO|69|_|HI|03|_'
1923,'BN|69|_|HI|10|_'
1923,'BN|69|_|HI|17|_'
1923,'L|I|70|_|_|7043'
1923,'BF|70|1|HI|15|8'
1923,'BC|77|1|HI|04|_'
1923,'BC|80|1|HI|17|5'
1923,'BI|83|_|DF|25|1'
1923,'BC|83|9|DF|01|5'
1923,'W|_|92|_|DF|02|2'
1923,'W|_|94|_|DF|04|_'
1923,'BI|94|_|DF|25|2'
1923,'BI|98|_|DF|13|2'
1923,'BK|01|_|FR|17|_'
1923,'W|_|02|_|FR|04|_'
1923,'BI|04|_|DF|25|2'
1923,'W|_|05|3|DF|05|_'
