'place_id','city_id','city'
'GR','06','Chilpancingo'
'GR','07','Iguala'
'GR','08','Teloloapan'
'GR','09','Acatlán'
'GR','10','San Luis Allende'
'GR','11','Ayutla'
'GR','12','Arcelia'
'GR','13','Taxco'
'GR','14','Coyuca de Benítez'
'GR','15','La Unión'
'GR','16','Omotepec'
'GR','17','Acapulco'
'GR','18','Tixtla'
'GR','19','Olinalá'
'GR','20','Malinaltepec, dto. Tlapa'
'GR','21','Dos Caminos, m. Chilpancinango'
'GR','22','Atoyac'
'GR','24','Quetzalapa'
'GR','25','Huítzuco'
'GR','26','Mayanatlán, m. Tepecoacuilco'
'GR','27','Costa chica'
'GR','28','Zumpahuacán'
'GR','29','Chaucingo'
'GR','30','Tetipac'
'GR','31','Tepecoacuilco'
'GR','32','Ajuchitlán'
'GR','34','Zapango del Río'
'GR','36','Balsas'
'GR','40','Coahuayutla'
'GT','01','Guanajuato (1)'
'GT','02','” (2)'
'GT','03','Silao'
'GT','04','Salamanca'
'GT','05','Irapuato'
'GT','06','Pénjamo'
'GT','07','León (1)'
'GT','08','León (2)'
'GT','09','San Francisco del Rincón'
'GT','10','Celaya'
'GT','11','Santa Cruz de Juventino Rosas'
'GT','12','Salvatierra'
'GT','13','Acámbaro'
'GT','14','Allende (San Miguel de)'
'GT','15','Dolores Hidalgo'
'GT','16','Ciudad González (San Felipe)'
'GT','17','San Luis de la Paz'
'GT','18','Iturbide'
'GT','19','Comonfort'
'GT','20','La Luz'
'GT','21','Cortazar'
'GT','22','Valle de Santiago'
'GT','23','Yuriria'
'GT','24','Jerécuaro'
'GT','25','Ciudad Álvaro Obregón'
'GT','26','Moroleón'
'GT','27','Purísima del Rincón'
'GT','28','Pavileros, m. Silao'
'GT','29','Sierra Gorda (GT+SL+QU)'
'GT','30','Xichu'
'HI','01','Actopan'
'HI','02','Apan'
'HI','03','Atotonilco el Grande'
'HI','04','Huejutla'
'HI','05','Huíchapan'
'HI','06','Ixmiquilpan'
'HI','07','Pachuca'
'HI','08','Tula de Allende'
'HI','09','Tulancingo'
'HI','10','Zacualtipan'
'HI','11','Zimapan'
'HI','12','Molango'
'HI','13','Metzquititlán'
'HI','14','Actopan, distrito' 
'HI','15','Tula, distrito'
'HI','16','Pachuca, distrito'
'HI','17','Molango, distrito'
'HI','18','Jacala'
'HI','19','Chapulhuacán'
