'city_id','place_id','city'
'06','GR','Chilpancingo'
'07','GR','Iguala'
'08','GR','Teloloapan'
'09','GR','Acatlán'
'10','GR','San Luis Allende'
'11','GR','Ayutla'
'12','GR','Arcelia'
'13','GR','Taxco'
'14','GR','Coyuca de Benítez'
'15','GR','La Unión'
'16','GR','Omotepec'
'17','GR','Acapulco'
'18','GR','Tixtla'
'19','GR','Olinalá'
'20','GR','Malinaltepec, dto. Tlapa'
'21','GR','Dos Caminos, m. Chilpancinango'
'22','GR','Atoyac'
'24','GR','Quetzalapa'
'25','GR','Huítzuco'
'26','GR','Mayanatlán, m. Tepecoacuilco'
'27','GR','Costa chica'
'28','GR','Zumpahuacán'
'29','GR','Chaucingo'
'30','GR','Tetipac'
'31','GR','Tepecoacuilco'
'32','GR','Ajuchitlán'
'34','GR','Zapango del Río'
'36','GR','Balsas'
'40','GR','Coahuayutla'
'01','GT','Guanajuato (1)'
'02','GT','” (2)'
'03','GT','Silao'
'04','GT','Salamanca'
'05','GT','Irapuato'
'06','GT','Pénjamo'
'07','GT','León (1)'
'08','GT','” (2)'
'09','GT','San Francisco del Rincón'
'10','GT','Celaya'
'11','GT','Santa Cruz de Juventino Rosas'
'12','GT','Salvatierra'
'13','GT','Acámbaro'
'14','GT','Allende (San Miguel de)'
'15','GT','Dolores Hidalgo'
'16','GT','Ciudad González (San Felipe)'
'17','GT','San Luis de la Paz'
'18','GT','Iturbide'
'19','GT','Comonfort'
'20','GT','La Luz'
'21','GT','Cortazar'
'22','GT','Valle de Santiago'
'23','GT','Yuriria'
'24','GT','Jerécuaro'
'25','GT','Ciudad Álvaro Obregón'
'26','GT','Moroleón'
'27','GT','Purísima del Rincón'
'28','GT','Pavileros, m. Silao'
'29','GT','Sierra Gorda (GT+SL+QU)'
'30','GT','Xichu'
'01','HI','Actopan'
'02','HI','Apan'
'03','HI','Atotonilco el Grande'
'04','HI','Huejutla'
'05','HI','Huíchapan'
'06','HI','Ixmiquilpan'
'07','HI','Pachuca'
'08','HI','Tula de Allende'
'09','HI','Tulancingo'
'10','HI','Zacualtipan'
'11','HI','Zimapan'
'12','HI','Molango'
'13','HI','Metzquititlán'
'14','HI','Actopan, distrito' 
'15','HI','Tula, distrito'
'16','HI','Pachuca, distrito'
'17','HI','Molango, distrito'
'18','HI','Jacala'
'19','HI','Chapulhuacán'
'20','HI','Huehuetla'
'21','HI','Huazalingo'
'22','HI','Yahualica'
'23','HI','Atlapexco'
'24','HI','San Andrés (Nic. Flores)'
'25','HI','Moltotepec'
'26','HI','Huíchapan'
'27','HI','Calnali'
'28,''HI',Hacienda del Palmar'
'29','HI','San Felipe Orizatlán'
'01','JA','Guadalajara, distrito 1'
'02','JA','Guadalajara, distrito 2'
'03','JA','Zapopan'
'04','JA','Tonalá'
'05','JA','Lagos de Moreno'
'06','JA','La Barca'
'07','JA','Tepatitlán'
'08','JA','Arandas'
'09','JA','Sayula'
'10','JA','Ameca'
'11','JA','Autlán'
'12','JA','Chapala'
'13','JA','Colotlán'
'14','JA','San Gabriel'
'15','JA','Ciudad Guzmán'
'16','JA',' Mascota'
'17','JA','Teocaltiche'
'18','JA','Ahualulco'
'19','JA','Jocotepec'
'20','JA','Jalostotitlán'
'21','JA','San Pedro Tlaquepaque'
'22','JA','Encarnación'
'23','JA','Mazamitla'
'24','JA','Guadalajara (3)'
'25','JA','Cuquío'
'26','JA','Tizapán el Alto'
'27','JA','Tlajomulco'
'28','JA','Tuxpan'
'29','JA','Cocula'
'30','JA','Tequila'
'31','JA','Teocuitatlán de Corona'
'32','JA','Ocotlán'
'33','JA','Mexicaltzingo'
'35','JA','Inxtlahuacán'
'36','JA','Yahualica'
'37','JA',',Hostotipaquillo'
'38','JA','Min. S. Sebastián (Mascota)'
'39','JA','Etzatlán'
'40','JA','San Juan de los Lagos'
'41','JA','Yahualica'
'42','JA','Ahualulco'
'43','JA','San Juan Evangelista'
'44','JA','Zacoalco'
'45','JA','Hostotipaquillo'
'46','JA','Amparo Mining Co.'
'47','JA','Bolaños'
'48','JA','San Martín de Bolaños'
'49','JA','Sierra de Ameca'
'50','JA','Paso de Sotos (Villa)'
'52','JA','Tecolotlán'
'53','JA','San Miguel el Alto'
'54','JA','Tecolotlán'
'01','ME','Toluca'
'02','ME','Zinacantepec'
'03','ME','Lerma'
'04','ME','Tenango'
'05','ME','Tenancingo'
'06','ME','Sultepec'
'07','ME','Tepascaltepec'
'08','ME','Valle del Bravo'
'09','ME','Ixtlahuaca'
'10','ME','Jilotepec'
'11','ME','Tlanepantla'
'12','ME','Cuautitlán'
'13','ME','Zumpango'
'14','ME','Otumba'
'15','ME','Texcoco'
'16','ME','Chalco'
'17','ME','El Oro'
'18','ME','Tejupilco'
'19','ME','Coatepec Harinas'
'20','ME','San Felipe'
'21','ME','Villa del Carbón'
'22','ME','Villa Victoria'
'23','ME','Almoloya de Alquisiras'
'24','ME','Ozumba de Alzate'
'25','ME','Malinalco'
'26','ME','Tepalcatepec'
'27','ME','El Platanar'
'28','ME','Tonatico'
'29','ME','El Desierto'
'30','ME','San Sebastián'
'31,''ME',Jalmolonga'
'32','ME','Ixtapan de la Sal'
'33','ME','Santo Tomás de los Plátanos'
'35','ME','Atlacomulco'
'01','MI','Morelia'
'02','MI','Zinapécuaro'
'03','MI','Maravatío'
'04','MI','Zitácuaro'
'05','MI','Huetamo'
'06','MI','Tacámbaro'
'07','MI','Ario de Rosales'
'08','MI','Pátzcuaro'
'09','MI','Uruapan'
'10','MI','Apatzingán'
'11','MI','Coalcomán'
'12','MI','Jiquilpan'
'13','MI','Zamora'
'14','MI','La Piedad'
'15','MI','Puruándiro'
'16','MI','Morelia (2)'
'17','MI','Zamora (2)'
'18','MI','Morelia (3)'
'19','MI','Purépero'
'20','MI','Aguililla'
'21','MI','Villa Hidalgo'
'22','MI','Santa Clara = Villa Escalante'
'23','MI','Acuitzio'
'24','MI','Coeneo'
'25','MI','Tlalpujahua'
'26','MI','Zacapu'
'27','MI','Paracho'
'28','MI','Guarachita'
'29','MI','Tanhuato'
'30','MI','Los Reyes'
'31','MI','Panindícuaro'
'32','MI','Chucándiro'
'33','MI','Cuitzeo'
'34','MI','Parácuaro'
'35','MI','Sanhuayo'
'36','MI','Tingiíindín'
'37','MI','Arteaga'
'39','MI','Cotija de la Paz'
'40','MI','Penjamillo'
'41','MI','Mazamitla, sierra Tarasca'
'42','MI','Jamiltepec'
'43','MI','Tuzantla'
'44','MI','Salazar, distrito'
'45','MI','Santa Clara, m. Tocumbo'
'46','MI','Peribán de Ramos'
'47','MI','San Juan P.'
'48','MI','Sierra de Uruapan'
'49','MI','Hao. de Chaparro, m. Zitácuaro'
'50','MI','Taretán'
'51','MI','Jerécuaro'
'52','MI','Tres Mezquites, m. Puruándiro'
'53','MI','Tanhuato'
'54','MI','San Pedro Jorullo, hacienda'
'55','MI','La Huacana'
'56','MI','Chavinda'
'57','MI','Jungapeo'
'01','MO','Cuernavaca'
'02','MO','Morelos = Cuautla'
'03','MO','Jojutla'
'04','MO','Yautepec'
'05','MO','Tetecala'
'06','MO','Jonacatepec'
'07','MO','Aguegepán'
'08','MO','Anenecuilco'
'09','MO','Santa María Ahuacatitlán'
'10','MO','Ahuatepec'
'11','MO','Villa de Ayala'
'12','MO','Tetelpa'
'13','MO','San Pablo Hidalgo'
'14','MO','Tlalquiltenango'
'15','MO','Hacienda Chinameca'
'16','MO','Tlaltizapan'
'17','MO','Huitzilac'
'18','MO','Tepoztlán'
'01','NL','Monterrey'
'02','NL','Cadareyta Jiménez'
'03','NL','Linares'
'04','NL','Villa Aldama'
'05','NL','Salinas Victoria'
'06','NL','Galeana'
'07','NL','Monterrey (2)'
'08','NL','Montemorelos'
'09','NL','Doctor Arroyo'
'10','NL','Cerralvo'
'11','NL','Sabinas Hidalgo'
'12','NL','Lampazos'
'13','NL','China'
'14','NL','Río Blanco'
'15','NL','Vallecillo'
'17','NL','San Isidro, m. Villa Pesqueira Chica'
'18','NL','General Bravo'
'19','NL','Galeana'
'21','NL','Terán'
'22','NL','Marín'
'23','NL','Cerralvo'
'24','NL','Mina'
'01','OA','Oaxaca'
'02','OA','Zimatlán'
'03','OA','Ocotlán'
'04','OA','Miahuatlán'
'05','OA','Jamiltepec'
'06','OA','Tuxtlahuaca'
'07','OA','Huajuapan'
'08','OA','Teposcolula'
'09','OA','Coíxtlahuaca'
'10','OA','Teotitlán'
'11','OA','Nochistlan'
'12','OA','Ixtlán'
'13','OA','Villa Alta'
'14','OA','Tlacolula'
'15,''OA',Tehuantepec'
'16','OA','Juchitán'
'17','OA','Tlaxiaco'
'18','OA','Cuicatlán'
'19','OA','Etla'
'20','OA','Sitacayoapan'
'21','OA','Tuxtepec'
'22','OA','Juquila'
'23','OA','Choapan'
'24','OA','Pinotepa Nacional'
'25,''OA',San Jerónimo Ixtepec'
'26','OA','Villa de Mitla'
'27','OA','Cafeta! Unión Ibérica'
'28','OA','San Antonio Eloxochitlán'
'30','OA','Tezoatlán'
'31','OA','Ejutla'
'32','OA','Sierra de Tlaxiaco'
'33','OA','Sierra de Nochistlán'
'34','OA','Tehuantepec'
'35','OA','Yautepec, San Carlos'
'36','OA','Ixtepejí, Santa Catarina'
'37','OA','Queotepec'
'38','OA','Ojitlán'
'39','OA','Jutla'
'40','OA','Ojitlán'
'41','OA','Santa María Guihenagatí'
'42','OA','Jalapa (Santa María)'
'01','PU','Puebla distrito (1)'
'02','PU','Puebla distrito(2)'
'03','PU','Acatlán'
'04','PU','Atlixco'
'05','PU','Chalchicomula = Xalchicomula = Rincón de Arena'
'06','PU','Chiautla'
'07','PU','Cholula'
'08','PU','Huauchinango'
'09','PU','Huejotzingo'
'10','PU','Izúcar de Matamoros'
'11','PU','Libres = Oriental'
'12','PU','Tecali'
'13','PU','Tecamachalco'
'14','PU','Tehuacán'
'15','PU','Tepeaca'
'16','PU','Tepejí de Rodríguez'
'17','PU','Teziutlán'
'18','PU','Tetela de Ocampo'
'19','PU','Zacapoaxtla'
'20','PU','Zacatlán'
'21','PU','Huauchinango (2)'
'22','PU','Molcaxac'
'23','PU','Chiquahuapan'
'24','PU','Villa Juárez'
'25','PU','Huehuetlán el Chico'
'26','PU','Coxcatlán'
